acc1,acc5,mean_per_class_recall,dataset,model,pretrained,task,language,image_retrieval_recall@5,text_retrieval_recall@5,mean_average_precision,model_fullname
0.7324818373564566,1.0,0.19999544792947005,vtab/diabetic_retinopathy,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.985,1.0,0.985,stl10,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.6787234042553192,0.923936170212766,0.6813829787234043,vtab/dtd,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.6358642578125,,0.6359414315265794,vtab/pcam,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.054979423868312755,0.26707818930041155,0.0559609415916413,vtab/smallnorb_label_azimuth,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.9742,0.9994,0.9742999999999998,vtab/cifar10,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.035088433159722224,0.1641574435763889,0.03505245243784983,vtab/dsprites_label_x_position,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.6861702127659575,0.9308510638297872,0.6867021276595744,vtab/dtd,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.7163,0.9319,0.7157657461996975,mnist,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.6245447347585115,0.8812351543942993,0.599484765590175,gtsrb,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.027248806423611112,0.12263997395833333,0.027647142686859538,vtab/dsprites_label_orientation,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.9459022509638104,0.998756373585375,0.9464260383541333,cars,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.1308016877637131,,0.22512609802617767,vtab/kitti_closest_vehicle_distance,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.7234920634920635,0.9565079365079365,0.7271206241302793,vtab/resisc45,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.42754275427542754,0.8361836183618362,0.42609625668449197,fgvc_aircraft,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.6254225568531039,0.9343116164720344,0.5660061999073792,vtab/svhn,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.1694743787112382,0.8168462722674291,0.1624418923009462,vtab/dmlab,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.9542109566639412,0.9989097846824748,0.9534650903807462,vtab/pets,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.7362,0.9286,0.7365,imagenetv2,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.30009478672985784,0.556872037914692,0.2994312796208531,country211,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
